2023-11-14 15:16:43 - RAM: 21.3% used, Swap: 9.6% used
2023-11-14 15:16:53 - RAM: 46.6% used, Swap: 5.9% used
2023-11-14 15:17:03 - RAM: 52.8% used, Swap: 5.9% used
2023-11-14 15:17:14 - RAM: 70.7% used, Swap: 5.5% used
2023-11-14 15:17:24 - RAM: 15.6% used, Swap: 5.4% used
2023-11-14 15:17:34 - RAM: 34.7% used, Swap: 5.4% used
2023-11-14 15:17:44 - RAM: 40.9% used, Swap: 5.4% used
2023-11-14 15:17:54 - RAM: 48.3% used, Swap: 5.4% used
2023-11-14 15:18:04 - RAM: 40.9% used, Swap: 5.4% used
2023-11-14 15:18:14 - RAM: 33.5% used, Swap: 5.3% used
2023-11-14 15:18:24 - RAM: 29.4% used, Swap: 5.3% used
2023-11-14 15:18:34 - RAM: 35.5% used, Swap: 5.3% used
2023-11-14 15:18:44 - RAM: 14.3% used, Swap: 5.3% used
2023-11-14 15:18:54 - RAM: 14.3% used, Swap: 5.3% used
2023-11-14 15:19:04 - RAM: 14.4% used, Swap: 5.3% used
2023-11-14 15:19:14 - RAM: 23.4% used, Swap: 5.3% used
2023-11-14 15:19:24 - RAM: 57.0% used, Swap: 5.3% used
2023-11-14 15:19:34 - RAM: 65.9% used, Swap: 5.3% used
2023-11-14 15:19:44 - RAM: 80.5% used, Swap: 5.3% used
2023-11-14 15:19:54 - RAM: 83.1% used, Swap: 5.3% used
2023-11-14 15:20:04 - RAM: 83.8% used, Swap: 5.3% used
2023-11-14 15:20:14 - RAM: 84.5% used, Swap: 5.3% used
2023-11-14 15:20:24 - RAM: 85.4% used, Swap: 5.3% used
2023-11-14 15:20:34 - RAM: 86.3% used, Swap: 5.3% used
2023-11-14 15:20:44 - RAM: 95.8% used, Swap: 6.9% used
2023-11-14 15:20:54 - RAM: 84.8% used, Swap: 7.5% used
2023-11-14 15:21:04 - RAM: 55.1% used, Swap: 6.4% used
2023-11-14 15:21:14 - RAM: 55.7% used, Swap: 5.4% used
2023-11-14 15:21:24 - RAM: 64.7% used, Swap: 5.3% used
2023-11-14 15:21:34 - RAM: 73.5% used, Swap: 5.3% used
2023-11-14 15:21:44 - RAM: 93.2% used, Swap: 6.3% used
2023-11-14 15:21:54 - RAM: 96.2% used, Swap: 6.1% used
2023-11-14 15:22:04 - RAM: 96.1% used, Swap: 6.7% used
2023-11-14 15:22:14 - RAM: 97.8% used, Swap: 8.2% used
2023-11-14 15:22:24 - RAM: 97.8% used, Swap: 11.5% used
2023-11-14 15:22:34 - RAM: 28.6% used, Swap: 5.4% used
2023-11-14 15:22:44 - RAM: 77.2% used, Swap: 5.4% used
2023-11-14 15:22:54 - RAM: 89.6% used, Swap: 5.4% used
2023-11-14 15:23:04 - RAM: 88.6% used, Swap: 5.4% used
2023-11-14 15:23:14 - RAM: 90.4% used, Swap: 5.4% used
2023-11-14 15:23:24 - RAM: 89.0% used, Swap: 5.4% used
2023-11-14 15:23:34 - RAM: 91.1% used, Swap: 5.4% used
2023-11-14 15:23:45 - RAM: 91.5% used, Swap: 5.4% used
2023-11-14 15:23:55 - RAM: 90.2% used, Swap: 5.4% used
2023-11-14 15:24:05 - RAM: 91.2% used, Swap: 5.4% used
2023-11-14 15:24:15 - RAM: 95.1% used, Swap: 5.4% used
2023-11-14 15:24:25 - RAM: 95.8% used, Swap: 6.5% used
